PACKPRICE,sum_of_salesday,Spend,s_date_year,s_date_month,s_date_dayofmonth,sale_pdp,Pampers_sale_rpi,Mamypoko_sale_rpi,Pampers_offer_rpi,Mamypoko_offer_rpi,MerchantCode_number
15.7,799,0.0,2022,3,6,20.79166667,0.129795715,0.077788978,0.276497696,0.302222222,0
19.5,197,0.0,2022,3,8,20.79166667,0.271380893,0.083333333,0.101382488,-0.107954545,0
20.0,170,0.0,2022,3,11,20.79166667,0.271380893,0.083333333,0.078341014,-0.136363636,0
19.6,160,217.0,2022,3,19,20.79166667,0.129795715,0.083333333,0.128888889,0.136563877,0
16.6,337,103.0,2022,3,20,20.79166667,0.129795715,0.083333333,0.262222222,0.268722467,0
16.6,507,126.0,2022,3,22,20.79166667,0.129795715,-0.178908935,0.262222222,0.056818182,0
18.7,139,58.0,2022,3,26,24.95833333,-0.044593921,-0.100367401,0.168888889,0.176211454,0
18.7,179,48.0,2022,3,28,24.95833333,-0.044593921,-0.100367401,0.168888889,0.176211454,0
23.4,216,0.0,2022,5,11,24.95833333,0.12536504,-0.100367401,-0.078341014,-0.030837004,0
19.2,293,35.0,2022,5,14,24.95833333,0.12536504,-0.100367401,0.115207373,0.154185022,0
19.2,462,120.0,2022,5,17,24.95833333,0.12536504,-0.100367401,0.115207373,0.154185022,0
18.3,665,146.0,2022,5,19,24.95833333,0.12536504,-0.100367401,0.156682028,0.193832599,0
18.2,410,97.0,2022,6,3,24.95833333,0.12536504,-0.100367401,0.161290323,0.198237885,0
18.2,470,62.0,2022,6,5,24.95833333,0.000238,-0.100367401,0.161290323,0.198237885,0
18.9,343,87.0,2022,6,8,24.95833333,-0.044593921,-0.100367401,0.16,0.167400881,0
18.2,232,41.0,2022,6,12,24.95833333,-0.044593921,-0.100367401,0.161290323,0.198237885,0
18.2,267,20.0,2022,6,16,24.95833333,-0.044593921,-0.100367401,0.161290323,0.198237885,0
16.6,219,131.0,2022,6,18,24.95833333,-0.044593921,-0.100367401,0.235023041,0.268722467,0
18.2,251,181.16,2022,7,1,24.95833333,-0.076784797,-0.100367401,0.215517241,0.198237885,0
18.2,230,624.35,2022,7,5,24.95833333,-0.044593921,-0.100367401,0.198237885,0.198237885,0
18.2,194,380.03,2022,7,6,24.95833333,-0.044593921,-0.100367401,0.125,0.198237885,0
18.2,221,295.15,2022,7,7,24.95833333,-0.044593921,-0.100367401,0.125,0.198237885,0
18.7,180,130.99,2022,7,8,24.95833333,-0.044593921,-0.100367401,0.142201835,0.176211454,0
18.7,244,209.16,2022,7,12,24.95833333,-0.044593921,-0.100367401,0.142201835,0.176211454,0
18.7,274,219.88,2022,7,16,24.95833333,-0.044593921,-0.100367401,0.142201835,0.176211454,0
18.7,285,475.02,2022,7,17,24.95833333,-0.044593921,-0.100367401,0.142201835,0.176211454,0
16.2,242,466.98,2022,7,23,24.95833333,-0.044593921,-0.100367401,0.19,0.286343612,0
18.7,237,144.28,2022,7,28,24.95833333,-0.044593921,-0.100367401,0.142201835,0.176211454,0
18.7,236,205.76,2022,7,30,24.95833333,-0.044593921,0.001666667,0.142201835,0.176211454,0
18.7,241,202.75,2022,7,31,24.95833333,-0.044593921,-0.100367401,-0.074712644,0.176211454,0
17.5,260,200.08,2022,8,6,24.95833333,-0.044593921,0.083333333,0.125,0.22907489,0
17.5,214,433.15,2022,8,9,24.95833333,-0.044593921,0.083333333,0.125,0.22907489,0
18.7,176,173.85,2022,8,15,24.95833333,-0.044593921,0.083333333,0.142201835,0.176211454,0
18.7,193,236.48,2022,8,17,24.95833333,-0.044593921,0.083333333,0.142201835,0.176211454,0
18.7,211,310.71,2022,8,18,24.95833333,-0.044593921,0.083333333,0.172566372,0.176211454,0
18.7,173,297.45,2022,8,20,24.95833333,-0.044593921,0.083333333,0.176211454,0.172566372,0
18.2,179,391.71,2022,9,5,24.95833333,-0.044593921,-0.100367401,0.212121212,0.099009901,0
18.2,172,327.04,2022,9,9,24.95833333,-0.044593921,0.083333333,0.212121212,0.1875,0
18.2,249,123.46,2022,9,19,24.95833333,-0.044593921,0.083333333,0.212121212,0.1875,0
18.2,177,130.65,2022,9,21,24.95833333,-0.044593921,0.083333333,0.212121212,0.183856502,0
17.5,415,1950.62,2022,9,23,24.95833333,-0.044593921,0.080262423,0.182242991,0.22907489,0
17.5,460,548.72,2022,9,28,24.95833333,-0.044593921,0.214473057,0.22907489,0.22907489,0
11.7,99,1428.0,2021,1,7,17.1796875,0.0,-0.100600601,0.071428571,0.0859375,1
11.7,113,875.0,2021,1,9,16.3984375,0.045475216,-0.050550551,0.071428571,0.225165563,1
11.7,79,1701.0,2021,1,10,16.3984375,0.045475216,-0.050550551,0.071428571,0.040983607,1
11.1,129,518.0,2021,1,16,17.1796875,-0.047641734,-0.100600601,0.119047619,0.090163934,1
10.3,169,1816.0,2021,1,19,17.1796875,0.0,-0.100600601,0.11965812,0.096491228,1
10.3,199,2280.0,2021,1,20,17.1796875,0.0,-0.100600601,0.141666667,0.134453782,1
10.3,198,1415.0,2021,1,21,16.3984375,0.045475216,-0.050550551,0.141666667,0.11965812,1
11.0,281,0.0,2021,1,27,17.1796875,0.0,0.0,0.126984127,0.179104478,1
11.0,160,0.0,2021,1,28,17.1796875,0.0,-0.100600601,0.126984127,0.179104478,1
11.0,137,0.0,2021,1,30,17.1796875,0.0,-0.100600601,0.126984127,0.043478261,1
11.3,127,410.0,2021,2,5,17.1796875,0.0,-0.100600601,0.073770492,0.017391304,1
11.7,99,162.0,2021,2,9,17.1796875,0.0,-0.100600601,0.040983607,-0.017391304,1
11.3,105,193.0,2021,2,17,17.1796875,0.0,-0.100600601,0.073770492,0.025862069,1
11.7,103,119.0,2021,2,19,17.1796875,0.0,-0.100600601,0.040983607,-0.00862069,1
11.7,95,42.0,2021,2,20,17.1796875,0.0,-0.100600601,0.040983607,-0.00862069,1
11.7,97,13.0,2021,2,22,17.1796875,0.0,-0.100600601,0.040983607,0.0859375,1
11.7,89,0.0,2021,2,24,17.1796875,0.0,-0.100600601,0.040983607,-0.00862069,1
11.7,98,25.0,2021,2,28,17.1796875,-0.100050025,-0.100600601,0.106870229,-0.00862069,1
11.7,117,10.0,2021,3,3,17.9609375,-0.150075038,-0.150650651,0.040983607,0.0859375,1
11.7,121,16.0,2021,3,6,17.1796875,-0.100050025,-0.100600601,0.071428571,-0.00862069,1
11.7,88,10.0,2021,3,9,17.1796875,0.0,-0.101703407,0.106870229,-0.00862069,1
11.7,87,74.0,2021,3,18,17.1796875,0.0,-0.100600601,0.106870229,-0.00862069,1
11.7,75,165.0,2021,3,20,17.1796875,0.0,-0.100600601,0.064,-0.00862069,1
11.7,76,53.0,2021,3,22,17.1796875,0.0,-0.100600601,0.064,0.040983607,1
11.7,78,212.0,2021,3,28,16.3984375,0.045475216,-0.050550551,0.071428571,0.040983607,1
11.4,95,252.0,2021,3,29,16.3984375,0.045475216,-0.050550551,0.095238095,0.06557377,1
11.3,62,163.0,2021,4,5,17.1796875,0.0,-0.101703407,-0.018018018,0.066115702,1
11.6,161,466.0,2021,4,16,17.9609375,0.0,-0.151803607,0.079365079,-0.148514851,1
11.2,134,196.0,2021,4,25,17.1796875,0.0,-0.101703407,0.131782946,-0.027522936,1
11.2,190,25.0,2021,4,27,17.1796875,0.0,-0.100600601,0.145038168,-0.027522936,1
11.2,176,257.0,2021,4,29,16.3984375,0.045475216,-0.050550551,0.145038168,-0.027522936,1
11.2,116,85.0,2021,4,30,17.1796875,0.0,-0.101703407,0.145038168,-0.027522936,1
11.2,151,151.0,2021,5,1,17.1796875,0.0,-0.101703407,0.042735043,0.125,1
11.7,133,56.0,2021,5,9,16.3984375,0.045475216,-0.050550551,0.025,-0.044642857,1
11.7,123,165.0,2021,5,10,16.3984375,0.045475216,-0.050550551,0.064,-0.044642857,1
11.5,118,137.0,2021,5,11,17.9609375,-0.045475216,-0.150650651,0.08,-0.026785714,1
11.7,86,274.0,2021,5,12,16.3984375,0.045475216,-0.050550551,0.064,-0.044642857,1
11.1,158,74.0,2021,5,22,17.1796875,0.0,-0.101703407,0.067226891,0.1328125,1
12.4,81,27.0,2021,5,25,17.1796875,0.0,-0.100600601,-0.042016807,-0.117117117,1
12.4,54,114.0,2021,5,28,16.3984375,0.045475216,-0.050550551,-0.033333333,-0.117117117,1
11.3,70,9.0,2021,6,7,17.1796875,-0.047641734,-0.100600601,-0.018018018,-0.076190476,1
11.9,98,105.0,2021,6,19,17.1796875,-0.047641734,-0.100600601,-0.017094017,-0.072072072,1
11.9,69,116.0,2021,6,20,17.1796875,-0.047641734,-0.100600601,-0.017094017,-0.072072072,1
12.1,71,94.0,2021,6,21,17.1796875,0.0,-0.101703407,0.024193548,0.047244094,1
